Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Air Temperature (degC),Relative Humidity (%),Rainfall (mm),Barometric Pressure (hPa),PM10 (ug/m^3),PM2.5 (ug/m^3),Visibility-reducing Particles (Mm^-1)
01/01/2020,00:00,13,0.4,78.1,0.4,23.9,75.8,0.0,1011,26.2,,
01/01/2020,01:00,25,0.2,81.6,0.4,24.0,74.1,0.0,1010,37.0,,21
01/01/2020,02:00,340,0.4,46.0,0.3,24.0,73.2,0.0,1010,14.1,,23
01/01/2020,03:00,342,0.2,85.0,0.3,23.8,73.3,0.0,1010,14.3,,22
01/01/2020,04:00,109,0.4,43.1,0.2,23.8,74.8,0.0,1010,11.1,,22
01/01/2020,05:00,108,0.4,44.8,0.3,23.9,75.5,0.0,1011,10.7,,25
01/01/2020,06:00,54,0.5,58.8,0.5,24.9,70.9,0.0,1012,13.6,,25
01/01/2020,07:00,32,0.9,46.7,0.7,25.4,66.4,0.0,1012,17.2,,21
01/01/2020,08:00,18,1.5,41.7,0.9,26.6,59.0,0.0,1012,14.1,,17
01/01/2020,09:00,26,1.2,46.9,0.9,27.7,51.7,0.0,1012,14.3,,13
01/01/2020,10:00,4,1.7,40.4,1.0,28.6,42.7,0.0,1012,14.7,,10
01/01/2020,11:00,34,1.1,53.8,0.9,29.3,43.4,0.0,1011,21.6,,12
01/01/2020,12:00,49,1.4,48.2,0.9,29.2,49.1,0.0,1011,21.8,,16
01/01/2020,13:00,57,1.5,42.8,1.0,28.8,52.2,0.0,1011,20.7,,16
01/01/2020,14:00,68,1.7,38.8,1.0,28.6,52.1,0.0,1010,23.5,,16
01/01/2020,15:00,39,1.7,40.2,1.0,28.4,52.9,0.0,1010,20.4,,17
01/01/2020,16:00,16,1.9,36.5,1.1,27.9,54.7,0.0,1010,19.1,,18
01/01/2020,17:00,9,2.3,29.3,1.0,26.9,60.0,0.0,1011,17.6,,18
01/01/2020,18:00,10,2.4,27.7,1.0,25.9,66.8,0.0,1011,16.6,,20
01/01/2020,19:00,12,1.6,35.0,0.9,25.5,68.4,0.0,1012,15.2,,21
01/01/2020,20:00,9,1.3,38.9,0.8,25.4,69.1,0.0,1012,15.3,,19
01/01/2020,21:00,9,1.7,27.9,0.8,25.2,70.2,0.0,1012,12.5,,17
01/01/2020,22:00,7,1.1,34.5,0.7,25.1,70.5,0.0,1013,8.9,,15
01/01/2020,23:00,354,1.1,33.4,0.6,24.8,71.6,0.0,1012,8.9,,13
02/01/2020,00:00,342,0.6,52.0,0.5,24.3,74.3,0.0,1012,9.2,,
02/01/2020,01:00,336,0.3,58.0,0.4,23.8,76.1,0.0,1011,9.8,,14
02/01/2020,02:00,342,0.4,45.1,0.4,23.6,77.5,0.0,1011,9.0,,16
02/01/2020,03:00,295,0.1,63.8,0.2,23.4,77.5,0.0,1011,8.0,,15
02/01/2020,04:00,261,0.1,89.8,0.2,23.4,77.2,0.0,1012,8.1,,15
02/01/2020,05:00,128,0.2,69.6,0.3,23.7,77.4,0.0,1012,7.4,,14
02/01/2020,06:00,132,0.2,85.6,0.3,24.2,75.3,0.0,1013,10.9,,17
02/01/2020,07:00,56,0.2,79.2,0.4,25.9,66.9,0.0,1013,11.5,,17
02/01/2020,08:00,22,0.7,59.3,0.7,27.2,60.5,0.0,1013,10.7,,17
02/01/2020,09:00,3,1.3,40.0,0.7,27.5,57.4,0.0,1013,13.9,,15
02/01/2020,10:00,27,1.0,53.3,0.8,28.7,51.3,0.0,1013,15.5,,13
02/01/2020,11:00,73,1.3,46.6,0.8,28.9,53.1,0.0,1013,14.3,,15
02/01/2020,12:00,46,1.3,51.1,0.9,29.1,53.0,0.0,1012,20.4,,15
02/01/2020,13:00,37,1.4,49.3,1.0,29.3,52.5,0.0,1012,18.4,,16
02/01/2020,14:00,35,1.5,43.6,1.0,28.9,54.1,0.0,1011,17.5,,15
02/01/2020,15:00,12,1.9,37.8,1.1,28.2,57.0,0.0,1011,20.1,,15
02/01/2020,16:00,26,1.8,37.6,0.9,27.6,58.7,0.0,1011,17.6,,14
02/01/2020,17:00,15,1.8,32.6,0.9,27.0,58.6,0.0,1011,15.4,,13
02/01/2020,18:00,19,1.5,33.2,0.9,26.3,62.1,0.0,1012,14.9,,14
02/01/2020,19:00,26,1.1,39.6,0.7,25.8,64.0,0.0,1012,12.2,,15
02/01/2020,20:00,35,0.8,44.2,0.7,25.5,65.2,0.0,1013,10.7,,15
02/01/2020,21:00,31,0.9,45.2,0.7,25.2,65.8,0.0,1013,9.2,,16
02/01/2020,22:00,26,0.6,54.5,0.6,25.1,66.2,0.0,1013,11.9,,19
02/01/2020,23:00,26,0.7,45.6,0.5,24.9,67.7,0.0,1013,12.3,,20
03/01/2020,00:00,17,0.7,43.3,0.5,24.5,68.8,0.0,1012,11.2,,
03/01/2020,01:00,29,0.5,52.1,0.5,24.4,68.2,0.0,1012,10.6,,19
03/01/2020,02:00,33,0.5,53.0,0.5,24.3,67.6,0.0,1011,10.4,,23
03/01/2020,03:00,2,0.6,51.6,0.4,23.9,67.6,0.0,1011,11.1,,24
03/01/2020,04:00,211,0.2,72.5,0.3,23.5,72.3,0.0,1012,11.1,,23
03/01/2020,05:00,214,0.2,71.9,0.2,23.0,77.3,0.0,1012,8.7,,21
03/01/2020,06:00,193,0.2,94.4,0.3,24.8,68.7,0.0,1013,11.9,,26
03/01/2020,07:00,184,0.3,90.2,0.4,25.8,62.4,0.0,1013,11.6,,27
03/01/2020,08:00,95,0.4,63.9,0.5,26.8,56.1,0.0,1014,16.3,,28
03/01/2020,09:00,17,0.3,67.3,0.6,27.6,51.9,0.0,1014,17.2,,30
03/01/2020,10:00,11,0.7,66.9,0.8,28.5,46.3,0.0,1013,17.7,,24
03/01/2020,11:00,7,1.6,44.8,1.0,29.1,43.9,0.0,1013,,,21
03/01/2020,12:00,39,1.2,47.1,0.9,29.5,43.5,0.0,1012,,,22
03/01/2020,13:00,41,1.6,43.4,1.0,29.2,45.1,0.0,1012,,,24
03/01/2020,14:00,50,1.4,47.3,1.0,28.7,48.9,0.0,1011,,,25
03/01/2020,15:00,52,1.6,45.1,1.0,28.1,51.0,0.0,1010,,,25
03/01/2020,16:00,32,1.7,42.1,1.1,27.5,52.5,0.0,1010,,,24
03/01/2020,17:00,46,1.2,44.0,0.9,27.0,53.0,0.0,1011,,,24
03/01/2020,18:00,13,1.8,30.6,0.8,26.0,58.6,0.0,1011,,,24
03/01/2020,19:00,16,1.4,35.2,0.9,25.4,63.0,0.0,1012,,,27
03/01/2020,20:00,16,1.2,38.8,0.8,25.1,64.1,0.0,1012,,,27
03/01/2020,21:00,22,1.1,38.6,0.7,24.8,65.9,0.0,1012,,,26
03/01/2020,22:00,33,0.8,46.0,0.6,24.7,66.4,0.0,1012,,,25
03/01/2020,23:00,48,0.3,77.5,0.4,24.5,65.4,0.0,1012,,,22
04/01/2020,00:00,10,0.2,79.6,0.3,24.4,65.8,0.0,1012,,,
04/01/2020,01:00,245,0.1,84.9,0.2,23.9,69.2,0.0,1012,,,24
04/01/2020,02:00,313,0.1,75.4,0.2,23.7,70.8,0.0,1011,,,26
04/01/2020,03:00,201,0.4,50.3,0.3,23.0,74.6,0.0,1011,,,27
04/01/2020,04:00,229,0.1,70.4,0.3,22.5,74.3,0.0,1012,,,32
04/01/2020,05:00,257,0.2,73.6,0.3,22.6,73.1,0.0,1013,,,30
04/01/2020,06:00,199,0.3,76.6,0.4,23.8,67.5,0.0,1013,,,29
04/01/2020,07:00,238,0.2,70.9,0.3,25.8,60.2,0.0,1014,,,25
04/01/2020,08:00,273,0.2,74.1,0.3,27.7,52.7,0.0,1013,,,24
04/01/2020,09:00,25,0.3,89.3,0.6,28.2,48.4,0.0,1013,,,22
04/01/2020,10:00,54,1.0,55.3,0.9,28.8,45.5,0.0,1013,,,20
04/01/2020,11:00,27,1.2,53.9,0.9,29.4,44.5,0.0,1012,,,21
04/01/2020,12:00,25,1.7,39.4,0.9,29.6,44.4,0.0,1011,,,20
04/01/2020,13:00,6,2.5,28.1,1.0,29.4,45.7,0.0,1011,,,18
04/01/2020,14:00,18,2.2,31.8,1.1,29.2,46.8,0.0,1010,,,15
04/01/2020,15:00,11,2.4,30.3,1.1,28.8,45.3,0.0,1009,,,15
04/01/2020,16:00,21,2.5,28.1,1.1,27.9,52.3,0.0,1009,,,17
04/01/2020,17:00,9,2.8,26.2,1.2,27.0,57.7,0.0,1010,,,19
04/01/2020,18:00,6,2.4,24.4,1.0,25.9,63.0,0.0,1010,,,22
04/01/2020,19:00,4,2.3,23.0,1.0,25.2,66.0,0.0,1011,,,22
04/01/2020,20:00,7,1.5,31.8,0.8,25.0,64.3,0.0,1011,,,19
04/01/2020,21:00,9,1.2,33.7,0.7,24.6,65.7,0.0,1011,,,18
04/01/2020,22:00,339,1.5,31.3,0.8,24.3,67.9,0.0,1011,,,18
04/01/2020,23:00,352,0.9,61.8,0.8,23.9,69.2,0.0,1011,,,18
05/01/2020,00:00,344,0.2,96.0,0.4,23.6,69.9,0.0,1011,,,
05/01/2020,01:00,337,0.2,78.9,0.3,23.7,69.5,0.0,1011,,,16
05/01/2020,02:00,334,0.3,78.3,0.4,23.8,68.4,0.0,1011,,,17
05/01/2020,03:00,323,0.3,63.9,0.4,23.3,70.3,0.0,1011,,,16
